iter	Passed	Remaining
0	184	184674
1	187	93787
2	190	63213
3	192	47980
4	194	38686
5	196	32589
6	198	28195
7	201	24984
8	204	22479
9	206	20459
10	208	18768
11	211	17399
12	213	16222
13	216	15232
14	218	14372
15	221	13606
16	223	12936
17	225	12322
18	227	11746
19	228	11212
20	230	10740
21	232	10316
22	233	9902
23	234	9533
24	235	9183
25	236	8877
26	238	8590
27	240	8333
28	241	8082
29	242	7855
30	244	7643
31	246	7463
32	248	7274
33	249	7089
34	250	6910
35	252	6754
36	253	6600
37	255	6455
38	256	6319
39	257	6189
40	259	6065
41	260	5947
42	262	5836
43	263	5732
44	265	5630
45	266	5522
46	267	5429
47	269	5341
48	270	5258
49	272	5176
50	273	5093
51	274	5012
52	275	4931
53	277	4858
54	278	4783
55	279	4717
56	281	4662
57	283	4608
58	285	4559
59	288	4512
60	289	4459
61	291	4408
62	293	4363
63	294	4311
64	296	4264
65	298	4218
66	299	4173
67	300	4122
68	302	4079
69	303	4037
70	304	3990
71	307	3957
72	308	3921
73	310	3881
74	311	3843
75	312	3803
76	314	3767
77	315	3731
78	317	3698
79	318	3661
80	320	3634
81	321	3601
82	323	3572
83	324	3543
84	326	3509
85	327	3478
86	328	3452
87	330	3427
88	332	3403
89	333	3375
90	335	3351
91	337	3328
92	338	3303
93	340	3277
94	341	3251
95	343	3230
96	344	3208
97	346	3186
98	347	3165
99	349	3144
100	350	3120
101	352	3101
102	353	3082
103	355	3061
104	357	3045
105	359	3028
106	360	3010
107	362	2993
108	364	2975
109	365	2959
110	367	2941
111	368	2924
112	370	2909
113	371	2890
114	373	2871
115	374	2855
116	375	2837
117	377	2818
118	378	2800
119	380	2790
120	382	2782
121	384	2768
122	386	2757
123	388	2744
124	389	2729
125	391	2715
126	392	2700
127	394	2687
128	396	2674
129	397	2663
130	400	2653
131	401	2641
132	402	2626
133	404	2612
134	405	2600
135	408	2593
136	409	2582
137	411	2570
138	413	2559
139	414	2545
140	416	2535
141	417	2523
142	419	2512
143	421	2504
144	423	2499
145	425	2488
146	426	2476
147	428	2469
148	430	2459
149	432	2449
150	433	2439
151	435	2429
152	436	2418
153	438	2408
154	440	2399
155	442	2391
156	443	2383
157	445	2373
158	446	2362
159	448	2352
160	449	2344
161	451	2335
162	453	2327
163	454	2318
164	456	2310
165	457	2300
166	459	2292
167	461	2285
168	462	2275
169	464	2268
170	465	2258
171	467	2250
172	469	2242
173	470	2234
174	472	2226
175	474	2219
176	475	2210
177	476	2202
178	478	2196
179	480	2188
180	482	2182
181	484	2177
182	485	2168
183	487	2162
184	489	2156
185	491	2149
186	493	2143
187	494	2135
188	495	2126
189	497	2121
190	499	2115
191	501	2108
192	502	2102
193	504	2095
194	505	2088
195	507	2082
196	508	2074
197	510	2068
198	511	2060
199	513	2053
200	514	2046
201	516	2039
202	518	2034
203	519	2028
204	521	2022
205	523	2017
206	524	2010
207	526	2004
208	528	1998
209	529	1993
210	531	1987
211	533	1981
212	534	1975
213	536	1969
214	537	1963
215	539	1956
216	540	1949
217	542	1944
218	543	1938
219	545	1932
220	546	1927
221	548	1920
222	549	1913
223	550	1907
224	551	1900
225	553	1894
226	554	1888
227	556	1882
228	557	1876
229	558	1870
230	560	1865
231	561	1858
232	562	1853
233	564	1848
234	566	1842
235	567	1837
236	569	1831
237	570	1826
238	571	1820
239	572	1814
240	574	1809
241	575	1803
242	577	1798
243	578	1793
244	580	1788
245	582	1783
246	583	1778
247	584	1773
248	586	1767
249	587	1762
250	588	1757
251	590	1752
252	591	1745
253	593	1741
254	594	1737
255	595	1731
256	597	1726
257	598	1721
258	599	1715
259	601	1710
260	602	1705
261	603	1700
262	605	1695
263	606	1691
264	608	1687
265	610	1683
266	611	1678
267	613	1674
268	614	1669
269	615	1665
270	617	1660
271	618	1655
272	620	1651
273	621	1646
274	623	1642
275	624	1638
276	626	1633
277	627	1628
278	628	1624
279	629	1619
280	631	1614
281	632	1610
282	634	1606
283	635	1601
284	636	1597
285	638	1593
286	640	1590
287	641	1587
288	643	1583
289	644	1578
290	646	1575
291	648	1571
292	649	1567
293	651	1563
294	652	1559
295	654	1556
296	655	1551
297	656	1547
298	657	1542
299	658	1537
300	660	1533
301	661	1529
302	662	1524
303	664	1520
304	665	1517
305	667	1513
306	668	1508
307	669	1504
308	670	1499
309	671	1495
310	673	1491
311	674	1487
312	675	1482
313	676	1479
314	678	1475
315	679	1471
316	681	1467
317	681	1462
318	683	1459
319	684	1454
320	686	1451
321	687	1447
322	689	1444
323	690	1440
324	692	1437
325	694	1435
326	695	1431
327	697	1428
328	698	1424
329	700	1421
330	701	1417
331	702	1413
332	703	1409
333	704	1405
334	705	1401
335	707	1397
336	708	1393
337	709	1390
338	711	1387
339	712	1383
340	714	1380
341	715	1377
342	717	1373
343	718	1370
344	719	1366
345	721	1362
346	722	1359
347	723	1354
348	724	1351
349	725	1347
350	726	1343
351	728	1340
352	729	1337
353	731	1334
354	732	1331
355	734	1327
356	735	1324
357	736	1320
358	737	1317
359	739	1313
360	740	1310
361	741	1307
362	743	1304
363	744	1301
364	746	1298
365	747	1295
366	748	1291
367	749	1287
368	750	1284
369	752	1281
370	754	1279
371	756	1277
372	758	1274
373	760	1272
374	762	1270
375	763	1266
376	764	1264
377	766	1261
378	768	1259
379	770	1256
380	771	1253
381	772	1250
382	774	1247
383	776	1245
384	778	1242
385	779	1239
386	781	1237
387	783	1235
388	784	1232
389	786	1229
390	787	1226
391	788	1222
392	790	1220
393	791	1217
394	792	1214
395	794	1211
396	796	1209
397	797	1206
398	799	1203
399	800	1201
400	802	1198
401	803	1195
402	805	1193
403	807	1191
404	808	1188
405	810	1185
406	811	1182
407	813	1180
408	814	1177
409	816	1174
410	817	1171
411	819	1168
412	820	1166
413	822	1163
414	823	1161
415	825	1158
416	827	1156
417	828	1153
418	830	1151
419	831	1148
420	832	1145
421	834	1142
422	835	1139
423	837	1137
424	838	1134
425	839	1131
426	841	1129
427	843	1126
428	844	1124
429	846	1121
430	847	1118
431	848	1116
432	850	1113
433	851	1110
434	853	1108
435	855	1106
436	856	1103
437	858	1101
438	859	1098
439	861	1095
440	862	1093
441	864	1091
442	865	1088
443	867	1086
444	868	1083
445	870	1081
446	872	1079
447	874	1076
448	876	1075
449	877	1073
450	879	1071
451	881	1069
452	883	1066
453	884	1064
454	886	1061
455	887	1058
456	889	1056
457	890	1053
458	891	1051
459	893	1048
460	894	1045
461	896	1043
462	897	1041
463	899	1039
464	901	1036
465	902	1034
466	904	1032
467	906	1030
468	907	1027
469	909	1025
470	910	1023
471	912	1020
472	914	1018
473	916	1016
474	917	1013
475	918	1011
476	920	1008
477	921	1006
478	923	1004
479	925	1002
480	926	1000
481	928	997
482	929	995
483	931	992
484	932	990
485	934	988
486	935	985
487	936	983
488	938	980
489	940	978
490	942	977
491	944	975
492	946	973
493	947	970
494	948	967
495	949	965
496	951	962
497	952	960
498	954	958
499	956	956
500	957	954
501	958	951
502	960	949
503	962	946
504	963	944
505	965	942
506	967	940
507	968	938
508	970	936
509	972	934
510	974	932
511	975	929
512	977	927
513	979	925
514	980	923
515	982	921
516	983	919
517	985	916
518	986	914
519	988	912
520	989	910
521	991	907
522	992	905
523	993	902
524	995	900
525	996	898
526	998	896
527	999	893
528	1001	891
529	1003	889
530	1004	887
531	1006	885
532	1007	882
533	1008	880
534	1010	878
535	1012	876
536	1013	873
537	1015	871
538	1016	869
539	1018	867
540	1020	865
541	1021	863
542	1023	861
543	1025	859
544	1026	857
545	1028	855
546	1030	853
547	1031	850
548	1033	848
549	1034	846
550	1036	844
551	1037	841
552	1038	839
553	1040	837
554	1041	835
555	1043	833
556	1044	831
557	1046	828
558	1048	826
559	1049	824
560	1051	822
561	1052	820
562	1054	818
563	1055	816
564	1057	813
565	1058	811
566	1060	809
567	1061	807
568	1063	805
569	1064	803
570	1065	800
571	1067	798
572	1068	796
573	1069	794
574	1071	792
575	1073	789
576	1074	787
577	1076	785
578	1077	783
579	1079	781
580	1081	780
581	1083	778
582	1084	776
583	1086	774
584	1088	772
585	1091	770
586	1092	768
587	1094	767
588	1096	765
589	1098	763
590	1100	761
591	1101	759
592	1103	757
593	1105	755
594	1106	753
595	1108	751
596	1109	749
597	1111	747
598	1113	745
599	1114	742
600	1116	740
601	1117	738
602	1118	736
603	1120	734
604	1121	732
605	1123	730
606	1125	728
607	1127	727
608	1129	725
609	1131	723
610	1133	721
611	1135	719
612	1136	717
613	1137	715
614	1139	713
615	1140	711
616	1142	708
617	1143	707
618	1145	704
619	1146	702
620	1148	700
621	1149	698
622	1151	696
623	1152	694
624	1155	693
625	1156	690
626	1158	688
627	1159	686
628	1160	684
629	1162	682
630	1163	680
631	1165	678
632	1166	676
633	1168	674
634	1169	672
635	1171	670
636	1172	668
637	1173	666
